Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,3,Mrs. Passenger_57,female,41.02918308297026,0,0,73802,19.174194844666083,,Q
0,2,Mr. Passenger_58,male,17.60937085988363,1,0,22331,28.399349231316595,,S
1,3,Mrs. Passenger_59,female,25.97978941184453,0,1,72290,17.243696927615616,,S
0,3,Mr. Passenger_60,male,7.499020354618622,1,0,84302,26.25419558031153,,S
0,3,Mrs. Passenger_61,female,43.62049903190393,0,0,16280,13.146085653969555,,Q
0,1,Mr. Passenger_62,male,30.537850893092745,1,0,52563,59.875915267108695,C193,S
1,2,Mr. Passenger_63,male,36.857509919846976,0,0,47384,27.071967260764684,,S
1,3,Mrs. Passenger_64,female,51.59476410376536,1,2,94224,11.155464400925268,,S
1,2,Mr. Passenger_65,male,45.11364183635491,0,0,98936,20.794506907131357,,Q
0,3,Mrs. Passenger_66,female,29.159979797738455,0,1,35443,14.374837818869834,,S
0,3,Mr. Passenger_67,male,41.027594782583,2,0,88493,24.741658300326243,,Q
0,3,Mr. Passenger_68,male,9.956142395329938,0,1,61812,8.184865986362679,,S
1,2,Mr. Passenger_69,male,36.07473224875133,0,0,20248,45.4268158942159,,C
0,3,Mr. Passenger_70,male,31.944741049516626,0,0,96454,18.8024611804065,,S
1,1,Mr. Passenger_71,male,7.344233871263651,2,1,22445,61.34215596946509,C33,S
0,2,Mr. Passenger_72,male,48.72248039112506,1,1,39849,28.39525958205019,,C
1,2,Mr. Passenger_73,male,20.142919532405067,3,0,99971,40.896323571509726,,S
0,3,Mrs. Passenger_74,female,,2,0,79613,8.46618403523622,,C
1,2,Mr. Passenger_75,male,24.12091095773585,0,0,93007,37.33271086942212,,S
0,1,Mr. Passenger_76,male,43.90960045924551,0,0,69454,,C91,N
0,2,Mr. Passenger_77,male,48.371664688994315,0,2,71100,16.411912028388258,,S
1,2,Mr. Passenger_78,male,18.379307307011068,0,1,77681,38.27127871670303,,S
1,2,Mrs. Passenger_79,female,8.574418285689294,0,0,20356,26.026190568596864,,S
1,1,Mrs. Passenger_80,female,28.160259305423338,2,0,34531,46.52403488856256,C192,S
0,2,Mr. Passenger_81,male,41.88483291838194,0,0,80341,37.19486761211357,,S
1,2,Mr. Passenger_82,male,,1,0,11325,18.813320953926414,,S
1,3,Mrs. Passenger_83,female,21.41066982460978,1,0,84510,13.309096548968132,,S
0,3,Mr. Passenger_84,male,36.83595158562372,1,0,39056,16.24883391504182,,S
1,2,Mr. Passenger_85,male,0.42,0,2,86108,28.79478667564198,,S
1,2,Mr. Passenger_86,male,20.69398197122787,0,0,33293,17.64960658910223,,S
1,3,Mrs. Passenger_87,female,10.626851778939717,1,0,39309,20.138202438451344,,S
0,3,Mrs. Passenger_88,female,34.127391853837594,0,1,95795,20.37151343034391,,S
1,3,Mrs. Passenger_89,female,19.692509928740606,0,0,29998,11.841426496445676,,S
0,3,Mr. Passenger_90,male,14.387652786305631,0,0,88712,24.911638010067175,,S
0,3,Mrs. Passenger_91,female,25.046363565240917,0,0,62989,26.222675109858073,,C
0,1,Mrs. Passenger_92,female,9.442282090662069,3,0,14911,34.065272287947806,C60,S
1,3,Mrs. Passenger_93,female,,1,0,18059,23.556889347605473,,S
1,2,Mrs. Passenger_94,female,20.44678709117194,2,0,11405,38.43969660990838,,Q
1,2,Mr. Passenger_95,male,24.71613348513467,1,0,20330,24.60030729883867,,S
1,3,Mr. Passenger_96,male,,0,0,89743,17.073768537594358,,S
0,3,Mr. Passenger_97,male,42.77168061193465,1,0,97269,21.941485569109048,,N
1,1,Mr. Passenger_98,male,28.476048454156032,0,0,93292,48.32405757324387,C87,S
1,3,Mrs. Passenger_99,female,37.34316565722939,0,1,24923,15.55704123515036,,C
1,1,Mr. Passenger_100,male,36.71699486515624,0,0,29973,60.91621644423785,C128,C
1,2,Mrs. Passenger_101,female,18.713886650492228,0,0,81027,31.454080503114483,,S
0,3,Mr. Passenger_102,male,,1,0,59376,7.958892853981011,,S
1,2,Mrs. Passenger_103,female,34.88751863939111,0,0,17143,18.53940426478564,,S
0,3,Mr. Passenger_104,male,34.39107995447968,1,0,37635,7.633576372601737,,C
0,3,Mr. Passenger_105,male,,0,0,14973,13.313210655051854,,Q
0,3,Mr. Passenger_106,male,24.024182730017436,0,2,52094,8.866736942781756,,S
0,3,Mr. Passenger_107,male,40.99772774153351,0,0,84630,10.006732771988313,,S
0,1,Mrs. Passenger_108,female,,0,0,65808,42.13520349755679,C83,S
0,2,Mr. Passenger_109,male,,0,1,80651,41.54332828130929,,C
0,2,Mrs. Passenger_110,female,37.482274908135956,1,0,23977,23.382318938238996,,N
1,1,Mr. Passenger_111,male,24.872464604597226,0,0,66569,57.94774736039282,C145,C
1,2,Mr. Passenger_112,male,40.98799239022668,0,0,93608,26.345790078334268,,S
1,3,Mrs. Passenger_113,female,36.13638630287386,3,0,95634,14.25010484167003,,S
1,3,Mr. Passenger_114,male,,0,0,25584,14.05625675283509,,S
1,3,Mrs. Passenger_115,female,0.42,2,0,80556,11.721599640280253,,S
1,1,Mr. Passenger_116,male,21.584842503570172,1,0,61791,51.916390224870014,C148,S
0,2,Mrs. Passenger_117,female,,0,0,77653,38.633728838994045,,S
1,3,Mr. Passenger_118,male,28.488172601388694,0,0,17474,8.577812975843075,,S
0,1,Mr. Passenger_119,male,,0,0,24595,42.46503961716854,,S
1,2,Mrs. Passenger_120,female,21.02634219444281,0,0,45937,29.27612358685256,,S
1,3,Mr. Passenger_121,male,,1,0,99699,8.803566150733738,,S
1,1,Mrs. Passenger_122,female,56.62699402159765,0,0,86876,59.87390936690915,C190,C
1,3,Mrs. Passenger_123,female,0.42,0,1,12837,7.67119840319434,,N
0,3,Mr. Passenger_124,male,25.65369990750526,0,0,98217,8.275710263354839,,S
1,1,Mrs. Passenger_125,female,34.368753086635856,0,0,87113,53.98049232556677,,S
1,2,Mrs. Passenger_126,female,30.06626339375392,0,0,20303,19.459447381113232,,S
1,3,Mr. Passenger_127,male,,1,2,82326,19.454464714902876,,S
1,3,Mr. Passenger_128,male,11.051454245300725,0,0,79919,13.176470844668831,,Q
0,2,Mr. Passenger_129,male,16.802587007002835,0,0,67097,21.517282227959903,,S
1,1,Mrs. Passenger_130,female,40.14974762486251,0,0,13969,53.50084727641031,C133,Q
0,3,Mr. Passenger_131,male,45.06067444429036,0,0,61679,14.235297111204847,,S
1,3,Mr. Passenger_132,male,31.35344416430015,0,0,63259,17.656238600457282,,S
1,1,Mrs. Passenger_133,female,18.29358681932989,1,0,37971,42.47160538529781,C91,S
1,2,Mrs. Passenger_134,female,31.339953573931087,0,0,86084,24.95478285207498,,S
0,3,Mr. Passenger_135,male,26.6394431076825,0,0,47383,13.338818047909504,,S
0,3,Mrs. Passenger_136,female,37.638464680936146,0,0,58353,12.918745306441112,,S
0,1,Mr. Passenger_137,male,31.656187647586474,2,0,74814,55.54194387387608,C90,S
1,3,Mrs. Passenger_138,female,21.294946778832788,0,0,43988,9.659687906288895,,S
0,3,Mr. Passenger_139,male,,0,2,88749,14.092509850916286,,S
0,2,Mr. Passenger_140,male,13.488334428302117,0,0,71762,38.97663134208273,,S
1,1,Mrs. Passenger_141,female,41.48016686400601,0,0,10564,65.23279038842728,C119,C
1,1,Mrs. Passenger_142,female,46.552693175615374,0,1,95182,50.24065654442307,,S
1,2,Mrs. Passenger_143,female,,2,0,68874,31.147241098046266,,S
1,3,Mrs. Passenger_144,female,35.8946575093377,0,0,44027,6.922747093097371,,S
1,1,Mr. Passenger_145,male,16.122328382316297,0,0,32739,55.83793758639261,C138,S
1,1,Mr. Passenger_146,male,45.00358105090846,0,1,79339,61.48996093315095,C156,S
1,2,Mr. Passenger_147,male,,0,0,55712,24.13671432900253,,S
1,1,Mr. Passenger_148,male,,2,1,83740,51.2854430631949,C193,S
1,1,Mr. Passenger_149,male,,0,0,40740,62.5096953438902,C104,S
0,1,Mr. Passenger_150,male,23.964723815424044,0,0,45150,57.46657147764847,C13,S
1,2,Mr. Passenger_151,male,,0,0,17597,25.57597835949121,,S
0,3,Mr. Passenger_152,male,22.037921475753507,0,2,57762,14.366345078184143,,S
1,2,Mr. Passenger_153,male,,1,2,82233,29.695734351875853,,S
1,1,Mr. Passenger_154,male,25.47223726898394,0,0,63518,37.881356258672014,C140,S
0,2,Mr. Passenger_155,male,32.16082980998591,0,0,40637,28.41369375461302,,S
0,3,Mr. Passenger_156,male,,1,2,54961,13.907603311242239,,S
0,3,Mrs. Passenger_157,female,40.705745470622546,0,0,10435,11.437126414516152,,S
0,3,Mr. Passenger_158,male,44.29356951124862,2,0,96052,,,S
0,2,Mrs. Passenger_159,female,23.057932999402063,0,0,88027,38.41009502512482,,Q
1,1,Mrs. Passenger_160,female,10.019553355839754,0,0,79647,37.364779564615915,C197,S
1,3,Mr. Passenger_161,male,40.13422529279252,1,0,75789,16.849548054514273,,S
1,3,Mr. Passenger_162,male,45.939792600645745,0,0,95050,14.161362121975769,,C
1,2,Mrs. Passenger_163,female,27.714522481412473,0,0,66484,21.98238569908514,,C
0,3,Mr. Passenger_164,male,11.98876119580968,0,0,18503,7.918599473531799,,S
1,3,Mrs. Passenger_165,female,33.73465284798337,0,0,15699,9.362451916601788,,C
0,3,Mrs. Passenger_166,female,51.34535380610848,0,0,54325,16.764481041062584,,S
0,3,Mr. Passenger_167,male,,0,0,18549,5.315350279317707,,S
1,1,Mrs. Passenger_168,female,,0,0,22701,,C38,S
1,2,Mrs. Passenger_169,female,25.609116459116358,0,0,25683,19.171605195580163,,S
0,2,Mr. Passenger_170,male,18.02056701865851,0,0,24420,22.59885939923238,,C
1,1,Mrs. Passenger_171,female,36.97479362078862,1,0,71539,46.31297419106273,,S
0,3,Mr. Passenger_172,male,,2,0,43583,7.848784980324401,,S
0,1,Mrs. Passenger_173,female,34.15722593122932,0,0,71974,47.985963255043266,C60,S
0,3,Mr. Passenger_174,male,,0,1,77144,11.945945788572304,,S
1,1,Mrs. Passenger_175,female,32.473650879510465,0,0,41679,38.40508549551508,C156,N
1,2,Mr. Passenger_176,male,17.73148600082078,1,0,32709,32.24576329031205,,S
1,2,Mr. Passenger_177,male,5.0896780013518175,0,0,31350,24.662225248740675,,C
1,1,Mr. Passenger_178,male,12.052585447704008,0,0,18679,60.26975191330794,C132,C
1,2,Mrs. Passenger_179,female,4.222890181469985,1,1,18899,,,S
1,2,Mrs. Passenger_180,female,52.3948540190245,1,0,28077,31.678643289083006,,S
1,2,Mr. Passenger_181,male,26.50721698696473,0,0,54799,31.271322849372336,,N
0,3,Mr. Passenger_182,male,15.367703588466282,1,0,43240,20.00944585663793,,S
1,1,Mr. Passenger_183,male,,0,0,72943,46.32445921754438,C84,S
1,1,Mrs. Passenger_184,female,15.0585655961265,0,0,20516,37.50049548587174,C19,S
1,2,Mr. Passenger_185,male,25.29819979475744,0,1,94759,24.304287552991205,,S
0,2,Mrs. Passenger_186,female,12.04345139851738,0,0,62407,27.464415702098986,,S
1,2,Mrs. Passenger_187,female,53.46830632006571,0,0,13749,27.932642467421246,,S
0,3,Mr. Passenger_188,male,,1,0,86477,9.794446545198067,,S
0,3,Mr. Passenger_189,male,19.043839488180204,1,0,92520,,,S
1,1,Mrs. Passenger_190,female,34.30861437517641,0,0,10793,37.07148924225748,C16,S
1,2,Mrs. Passenger_191,female,50.308180986764455,0,0,28282,26.66640293258203,,S
0,2,Mrs. Passenger_192,female,48.53566467749157,1,0,40923,21.938764631942576,,S
1,2,Mrs. Passenger_193,female,23.170529421970844,0,0,15838,22.012679867437868,,C
1,2,Mr. Passenger_194,male,33.57599231428008,0,0,44816,33.57363804773555,,S
0,2,Mr. Passenger_195,male,,2,0,99687,26.190375037445676,,S
0,3,Mr. Passenger_196,male,,0,0,42613,8.256534150641789,,S
0,2,Mrs. Passenger_197,female,33.579864876308,0,0,91111,26.853118206834473,,S
0,3,Mrs. Passenger_198,female,16.78640264130158,0,2,32662,17.670444963799874,,C
0,3,Mr. Passenger_199,male,12.357338305291517,0,1,59668,16.849172040539987,,S
0,3,Mrs. Passenger_200,female,32.45917765953704,0,0,48278,7.594750373607511,,S
1,1,Mrs. Passenger_201,female,,0,0,38584,70.16715711451832,C84,C
0,3,Mrs. Passenger_202,female,,1,0,81141,27.751362595408057,,S
1,3,Mrs. Passenger_203,female,,0,0,53637,10.815631190639154,,Q
0,3,Mrs. Passenger_204,female,15.634914122028553,0,0,26037,16.00719140256947,,S
1,2,Mrs. Passenger_205,female,25.497112071673065,0,0,10821,29.952624788832757,,N
0,3,Mr. Passenger_206,male,22.8976979458209,0,0,98388,10.031210581519295,,C
0,3,Mrs. Passenger_207,female,28.16264251070001,0,1,30027,13.829108123639367,,N
0,3,Mr. Passenger_208,male,,0,0,35645,12.469794247331535,,S
0,1,Mr. Passenger_209,male,,1,0,83744,32.481052285955464,,S
0,3,Mr. Passenger_210,male,3.8539257064760015,0,0,30613,16.0234254539836,,S
1,3,Mrs. Passenger_211,female,34.732713342261476,0,0,95462,16.57861335331883,,Q
0,2,Mrs. Passenger_212,female,27.518039857454923,1,0,48128,25.089739673085113,,S
0,3,Mr. Passenger_213,male,32.28515053322741,1,2,39877,19.03935680956785,,S
1,1,Mr. Passenger_214,male,36.223651510351345,0,1,70892,47.730253797769194,C34,S
1,3,Mrs. Passenger_215,female,27.46532271626428,0,0,90089,15.078326960959464,,S
1,3,Mrs. Passenger_216,female,41.195656317900564,0,0,92457,10.78681168279044,,S
0,3,Mr. Passenger_217,male,17.49797872065119,2,0,92955,12.855364857313031,,Q
0,3,Mr. Passenger_218,male,30.90128631966853,0,0,27856,11.298145377290085,,C
1,1,Mr. Passenger_219,male,18.369331868398813,0,0,49053,53.640602289198895,,S
